amzn_price-history-1st Jan 2019-30th Nov 2020
Time,Open,High,Low,Last,Volume
3/6/2019,1695.97,1697.75,1668.28,1668.95,3996001
3/7/2019,1667.37,1669.75,1620.51,1625.95,4957017
3/8/2019,1604.01,1622.72,1586.57,1620.8,4667014
3/11/2019,1626.12,1672.29,1626.01,1670.62,3876352
3/12/2019,1669,1684.27,1660.98,1673.1,3614498
3/13/2019 ,1683,1700,1679.35,1690.81,3552041
3/14/2019 ,1691.2,1702,1684.34,1686.22,2946618
3/15/2019 ,1703,1718.8,1693.13,1712.36,7550870
3/18/2019 ,1712.7,1750,1712.63,1742.15,5429058
3/19/2019 ,1753.51,1784.16,1753.51,1761.85,6364161
3/20/2019 ,1769.94,1799.5,1767.03,1797.27,6265633
3/21/2019 ,1796.26,1823.75,1787.28,1819.26,5767797
3/22/2019 ,1810.17,1818.98,1763.11,1764.77,6362983
3/25/2019 ,1757.79,1782.68,1747.5,1774.26,5103803
3/26/2019 ,1793,1805.77,1773.36,1783.76,4865880
3/27/2019 ,1784.13,1787.5,1745.68,1765.7,4324801
3/28/2019 ,1770,1777.93,1753.47,1773.42,3042958
3/29/2019 ,1786.58,1792.86,1776.63,1780.75,3320793
4/1/2019,1800.11,1815.67,1798.73,1814.19,4238752
4/2/2019,1811.02,1820,1805.12,1813.98,3448115
4/3/2019,1826.72,1830,1809.62,1820.7,3980590
4/4/2019,1820.65,1828.75,1804.2,1818.86,3623867
4/5/2019,1829,1838.58,1825.19,1837.28,3640476
4/8/2019,1833.23,1850.2,1825.11,1849.86,3752841
4/9/2019,1845.49,1853.09,1831.78,1835.84,3714368
4/10/2019,1841,1848,1828.81,1847.33,2963973
4/11/2019,1848.7,1849.95,1840.31,1844.07,2654842
4/12/2019,1848.4,1851.5,1841.3,1843.06,3114413
4/15/2019 ,1842,1846.85,1818.9,1844.87,3724423
4/16/2019 ,1851.35,1869.77,1848,1863.04,3044618
4/17/2019 ,1872.99,1876.47,1860.44,1864.82,2893517
4/18/2019 ,1868.79,1870.82,1859.48,1861.69,2749882
4/22/2019 ,1855.4,1888.42,1845.64,1887.31,3373807
4/23/2019 ,1891.2,1929.26,1889.58,1923.77,4640441
4/24/2019 ,1925,1929.69,1898.16,1901.75,3675781
4/25/2019 ,1917,1922.45,1900.31,1902.25,6099101
4/26/2019 ,1929,1951,1898,1950.63,8432563
4/29/2019 ,1949,1956.34,1934.09,1938.43,4021255
4/30/2019 ,1930.1,1935.71,1906.95,1926.52,3506007
5/1/2019,1933.09,1943.64,1910.55,1911.52,3116964
5/2/2019,1913.33,1921.55,1881.87,1900.82,3962915
5/3/2019,1949,1964.4,1936,1962.46,6381564
5/6/2019,1917.98,1959,1910.5,1950.55,5417841
5/7/2019,1939.99,1949.1,1903.38,1921,5902134
5/8/2019,1918.87,1935.37,1910,1917.77,4078568
5/9/2019,1900,1909.4,1876,1899.87,5308263
5/10/2019,1898,1903.79,1856,1889.98,5717994
5/13/2019 ,1836.56,1846.54,1818,1822.68,5783410
5/14/2019 ,1839.5,1852.44,1815.75,1840.12,4629107
5/15/2019 ,1827.95,1874.43,1823,1871.15,4692642
5/16/2019 ,1885.94,1917.51,1882.29,1907.57,4707822
5/17/2019 ,1893.05,1910.53,1867.33,1869,4736618
5/20/2019 ,1852.69,1867.78,1835.54,1858.97,3798198
5/21/2019 ,1874.79,1879,1846,1857.52,4005122
5/22/2019 ,1851.78,1871.49,1851,1859.68,2936601
5/23/2019 ,1836.59,1844,1804.2,1815.48,4424265
5/24/2019 ,1835.89,1841.76,1817.85,1823.28,3369673
5/28/2019 ,1832.75,1849.27,1827.35,1836.43,3199965
5/29/2019 ,1823.12,1830,1807.53,1819.19,4279025
5/30/2019 ,1825.49,1829.47,1807.83,1816.32,3146850
5/31/2019 ,1790.01,1795.59,1772.7,1775.07,4618819
6/3/2019,1760.01,1766.29,1672,1692.69,9098708
6/4/2019,1699.24,1730.82,1680.89,1729.56,5679121
6/5/2019,1749.6,1752,1715.25,1738.5,4239782
6/6/2019,1737.71,1760,1726.13,1754.36,3689272
6/7/2019,1763.7,1806.25,1759.49,1804.03,4808246
6/10/2019,1822,1884.87,1818,1860.63,5371007
6/11/2019,1883.25,1893.7,1858,1863.7,4042694
6/12/2019,1853.98,1865,1844.38,1855.32,2678335
6/13/2019 ,1866.72,1883.09,1862.22,1870.3,2795810
6/14/2019 ,1864,1876,1859,1869.67,2851163
6/17/2019 ,1876.5,1895.69,1875.45,1886.03,2634342
6/18/2019 ,1901.35,1921.67,1899.79,1901.37,3895728
6/19/2019 ,1907.84,1919.58,1892.47,1908.79,2895347
6/20/2019 ,1933.33,1935.2,1905.8,1918.19,3217153
6/21/2019 ,1916.1,1925.95,1907.58,1911.3,3933576
6/24/2019 ,1912.66,1916.86,1901.3,1913.9,2282969
6/25/2019 ,1911.84,1916.39,1872.42,1878.27,3012347
6/26/2019 ,1892.48,1903.8,1887.32,1897.83,2441910
6/27/2019 ,1902,1911.24,1898.04,1904.28,2141721
6/28/2019 ,1909.1,1912.94,1884,1893.63,3037358
7/1/2019,1922.98,1929.82,1914.66,1922.19,3203347
7/2/2019,1919.38,1934.79,1906.63,1934.31,2651299
7/3/2019,1935.89,1941.59,1930.5,1939,1690294
7/5/2019,1928.6,1945.9,1925.3,1942.91,2628359
7/8/2019,1934.12,1956,1928.25,1952.32,2883371
7/9/2019,1947.8,1990.01,1943.48,1988.3,4345698
7/10/2019,1996.51,2024.94,1995.4,2017.41,4931902
7/11/2019,2025.62,2035.8,1995.3,2001.07,4317766
7/12/2019,2008.27,2017,2003.87,2011,2509297
7/15/2019 ,2021.4,2022.9,2001.55,2020.99,2981343
7/16/2019 ,2010.58,2026.32,2001.22,2009.9,2618198
7/17/2019 ,2007.05,2012,1992.03,1992.03,2558809
7/18/2019 ,1980.01,1987.5,1951.55,1977.9,3504252
7/19/2019 ,1991.21,1996,1962.23,1964.52,3185612
7/22/2019 ,1971.14,1989,1958.26,1985.63,2908111
7/23/2019 ,1995.99,1997.79,1973.13,1994.49,2703480
7/24/2019 ,1969.3,2001.3,1965.87,2000.81,2631300
7/25/2019 ,2001,2001.2,1972.72,1973.82,4136461
7/26/2019 ,1942,1950.9,1924.51,1943.05,4927143
7/29/2019 ,1930,1932.23,1890.54,1912.45,4493190
7/30/2019 ,1891.12,1909.89,1883.48,1898.53,2910888
7/31/2019 ,1898.11,1899.55,1849.44,1866.78,4470727
8/1/2019,1871.72,1897.92,1844.01,1855.32,4713311
8/2/2019,1845.07,1846.36,1808.02,1823.24,4956225
8/5/2019,1770.22,1788.67,1748.78,1765.13,6058212
8/6/2019,1792.23,1793.77,1753.4,1787.83,5070258
8/7/2019,1773.99,1798.93,1757,1793.4,4526884
8/8/2019,1806,1834.26,1798.11,1832.89,3701242
8/9/2019,1828.95,1831.09,1802.22,1807.58,2879770
8/12/2019,1795.99,1800.98,1777,1784.92,2905498
8/13/2019 ,1783,1831.74,1780,1824.34,4075021
8/14/2019 ,1793.01,1795.65,1757.22,1762.96,4893649
8/15/2019 ,1781.99,1788,1761.96,1776.12,3809948
8/16/2019 ,1792.89,1802.91,1784.55,1792.57,3054240
8/19/2019 ,1818.08,1826,1812.61,1816.12,2820303
8/20/2019 ,1814.5,1816.82,1799.88,1801.38,1932835
8/21/2019 ,1819.39,1829.58,1815,1823.54,2039231
8/22/2019 ,1828,1829.41,1800.1,1805.6,2658388
8/23/2019 ,1793.03,1804.9,1745.23,1749.62,5277898
8/26/2019 ,1766.91,1770,1743.51,1768.87,3085320
8/27/2019 ,1775.73,1779.4,1746.68,1761.83,3027245
8/28/2019 ,1755,1767.86,1744.05,1764.25,2421893
8/29/2019 ,1783,1798.55,1777.25,1786.4,3018012
8/30/2019 ,1797.49,1799.74,1764.57,1776.29,3064147
9/3/2019,1770,1800.8,1768,1789.84,3546859
9/4/2019,1805,1807.63,1796.23,1800.62,2326228
9/5/2019,1821.95,1842,1815.58,1840.72,3325189
9/6/2019,1838.22,1840.65,1826.4,1833.51,2496933
9/9/2019,1841,1850,1824.61,1831.35,2999515
9/10/2019,1822.75,1825.81,1805.34,1820.55,2613879
9/11/2019,1812.14,1833.42,1809.08,1822.99,2432767
9/12/2019,1837.63,1853.66,1834.28,1843.55,2823505
9/13/2019 ,1842.01,1846.12,1835.17,1839.34,1971317
9/16/2019 ,1824.02,1825.69,1800.2,1807.84,3675473
9/17/2019 ,1807.08,1823.99,1804.1,1822.55,2033058
9/18/2019 ,1817.04,1822.06,1795.5,1817.46,2536012
9/19/2019 ,1821.02,1832.57,1817.9,1821.5,2078335
9/20/2019 ,1821.71,1830.63,1780.92,1794.16,5555839
9/23/2019 ,1777,1792.7,1767.32,1785.3,3139142
9/24/2019 ,1790.61,1795.71,1735.55,1741.61,4637901
9/25/2019 ,1747.36,1773,1723,1768.33,3531098
9/26/2019 ,1762.79,1763.37,1731.5,1739.84,3571952
9/27/2019 ,1748,1749.12,1713.82,1725.45,3948029
9/30/2019 ,1726.99,1737.46,1709.22,1735.91,2760768
10/1/2019,1746,1755.6,1728.41,1735.65,3170460
10/2/2019,1727.74,1728.89,1705,1713.23,3338476
10/3/2019,1713,1725,1685.06,1724.42,3624371
10/4/2019,1726.02,1740.58,1719.23,1739.65,2489277
10/7/2019,1731.63,1747.83,1723.7,1732.66,2187598
10/8/2019,1722.49,1727,1705,1705.51,2626840
10/9/2019,1719.61,1729.95,1714.36,1721.99,2089335
10/10/2019,1725.24,1738.29,1713.75,1720.26,2721531
10/11/2019,1742.92,1745.45,1729.86,1731.92,3279534
10/14/2019 ,1728.91,1741.89,1722,1736.43,1928898
10/15/2019 ,1742.14,1776.45,1740.62,1767.38,3129244
